Date,Year,Month,Month_Name,Day,Weekday,Quarter,Mode,Category,Category_Code,Subcategory,Note,Amount,Transaction_Type,Transaction_Type_Code
2017-11-26,2017,11,November,26,Sunday,4,Cash,Transportation,48,auto,eye institute to Place 6 station,40.0,Expense,0
2017-12-17,2017,12,December,17,Sunday,4,Cash,Transportation,48,Train,Place 0 to Place 4 return,20.0,Expense,0
2016-05-16,2016,5,May,16,Monday,2,Saving Bank Account 1,Subscription,45,Mobile Service Provider,Unknown,251.0,Expense,0
2018-01-18,2018,1,January,18,Thursday,1,Saving Bank Account 1,Food,18,Eggs,6 eggs,42.0,Expense,0
2015-03-29,2015,3,March,29,Sunday,1,Cash,Food,18,Grocery,Unknown,150.0,Expense,0
2015-03-02,2015,3,March,2,Monday,1,Cash,Food,18,breakfast,2 uttapam,40.0,Expense,0
2017-01-08,2017,1,January,8,Sunday,1,Cash,Transportation,48,auto,Place 2 bus stand to Permanent Residence,50.0,Expense,0
2018-03-04,2018,3,March,4,Sunday,1,Cash,Family,15,Pocket money,Unknown,450.0,Expense,0
2017-02-19,2017,2,February,19,Sunday,1,Saving Bank Account 1,Apparel,1,Clothing,undergarments pair of Jockey,498.0,Expense,0
2017-11-23,2017,11,November,23,Thursday,4,Saving Bank Account 1,Food,18,Milk,1 lit,69.0,Expense,0
2017-12-13,2017,12,December,13,Wednesday,4,Cash,Family,15,Pocket money,Unknown,20.0,Expense,0
2017-02-19,2017,2,February,19,Sunday,1,Cash,Food,18,beverage,sugarcane juice 2,30.0,Expense,0
2016-11-19,2016,11,November,19,Saturday,4,Cash,Transportation,48,Bus,Place T to brc,94.0,Expense,0
2017-07-03,2017,7,July,3,Monday,3,Saving Bank Account 1,Other,31,Unknown,Devi Temple,5.0,Expense,0
2015-02-07,2015,2,February,7,Saturday,1,Cash,Food,18,Unknown,tea,6.0,Expense,0
2017-05-31,2017,5,May,31,Wednesday,2,Saving Bank Account 1,Apparel,1,Clothing,undergarments pair of Jockey,655.0,Expense,0
2018-08-27,2018,8,August,27,Monday,3,Cash,Food,18,Biscuits,Khari packet,45.0,Expense,0
2015-03-12,2015,3,March,12,Thursday,1,Cash,Food,18,Tea,Unknown,30.0,Expense,0
2016-11-19,2016,11,November,19,Saturday,4,Cash,Other,31,Unknown,"Puja saman (150 for 5 Nariyal, 400 for 1kg sweets and 190 for rest)",740.0,Expense,0
2017-11-17,2017,11,November,17,Friday,4,Saving Bank Account 1,Household,24,Kirana,Agarbatti 55 + dahi 25,80.0,Expense,0
2018-03-04,2018,3,March,4,Sunday,1,Cash,Food,18,Lunch,Catering Service,130.0,Expense,0
2018-03-08,2018,3,March,8,Thursday,1,Saving Bank Account 1,Equity Mutual Fund E,13,Unknown,Unknown,1000.0,Transfer-Out,2
2018-06-09,2018,6,June,9,Saturday,2,Credit Card,Subscription,45,Mobile Service Provider,Data booster pack,667.0,Expense,0
2017-01-11,2017,1,January,11,Wednesday,1,Saving Bank Account 1,Health,23,Medicine,adulsa ( tonic for cough ),90.0,Expense,0
2017-04-03,2017,4,April,3,Monday,2,Saving Bank Account 1,Food,18,snacks,1 chicken shawarma,60.0,Expense,0
2017-12-02,2017,12,December,2,Saturday,4,Saving Bank Account 1,Food,18,Milk,milk 1lit,69.0,Expense,0
2018-01-06,2018,1,January,6,Saturday,1,Cash,Food,18,curd,2 cups,20.0,Expense,0
2016-12-10,2016,12,December,10,Saturday,4,Saving Bank Account 1,Investment,26,Mutual fund,Unknown,1000.0,Expense,0
2018-03-20,2018,3,March,20,Tuesday,1,Cash,Food,18,Milk,Half lit  milk,36.0,Expense,0
2018-02-13,2018,2,February,13,Tuesday,1,Saving Bank Account 1,Food,18,Grocery,Amul cheese,72.0,Expense,0
2016-04-12,2016,4,April,12,Tuesday,2,Saving Bank Account 1,Investment,26,RD,Unknown,1000.0,Expense,0
2016-12-31,2016,12,December,31,Saturday,4,Saving Bank Account 1,Food,18,Grocery,edible oil,160.0,Expense,0
2017-05-30,2017,5,May,30,Tuesday,2,Cash,Transportation,48,auto,2 Place 0 to Current Residence,30.0,Expense,0
2015-11-07,2015,11,November,7,Saturday,4,Saving Bank Account 1,Investment,26,Mutual fund,reliance mutual fund,1000.0,Expense,0
2017-11-27,2017,11,November,27,Monday,4,Saving Bank Account 1,Health,23,Health,Glasses advance,1000.0,Expense,0
2015-08-10,2015,8,August,10,Monday,3,Saving Bank Account 1,Recurring Deposit,34,Unknown,Unknown,1000.0,Expense,0
2018-05-22,2018,5,May,22,Tuesday,2,Cash,Health,23,Health,2 All out refill,154.0,Expense,0
2017-05-01,2017,5,May,1,Monday,2,Saving Bank Account 1,Food,18,flour mill,M D sure 1kg atta,47.0,Expense,0
2017-12-05,2017,12,December,5,Tuesday,4,Saving Bank Account 1,Equity Mutual Fund A,9,Unknown,Unknown,1000.0,Transfer-Out,2
2016-09-11,2016,9,September,11,Sunday,3,Cash,Food,18,Grocery,badishop,70.0,Expense,0
2015-06-10,2015,6,June,10,Wednesday,2,Saving Bank Account 1,Recurring Deposit,34,Unknown,Unknown,1000.0,Expense,0
2018-02-01,2018,2,February,1,Thursday,1,Saving Bank Account 1,Public Provident Fund,33,Unknown,Unknown,10000.0,Transfer-Out,2
2015-03-18,2015,3,March,18,Wednesday,1,Cash,Food,18,snacks,samosa+tea+veg cheese grill sandwich,53.0,Expense,0
2018-07-01,2018,7,July,1,Sunday,3,Cash,Apparel,1,Laundry,clothes ironing,98.0,Expense,0
2015-05-16,2015,5,May,16,Saturday,2,Cash,Food,18,fruits,bananas 1 kg,20.0,Expense,0
2017-05-06,2017,5,May,6,Saturday,2,Cash,Food,18,Tea,Unknown,10.0,Expense,0
2017-11-19,2017,11,November,19,Sunday,4,Cash,Transportation,48,Train,2 Place 0 to Place 6 return,20.0,Expense,0
2017-05-18,2017,5,May,18,Thursday,2,Saving Bank Account 1,Food,18,Milk,milk 1lit,64.0,Expense,0
2018-01-21,2018,1,January,21,Sunday,1,Credit Card,Food,18,Dinner,Home Food Delivery,384.0,Expense,0
2017-07-11,2017,7,July,11,Tuesday,3,Cash,Family,15,Pocket money,Unknown,1500.0,Expense,0
2017-05-10,2017,5,May,10,Wednesday,2,Saving Bank Account 1,Food,18,breakfast,Tea + 2 kachori,34.0,Expense,0
2017-12-05,2017,12,December,5,Tuesday,4,Saving Bank Account 1,Subscription,45,Tata Sky,Current Residence - Tata Play recharge,100.0,Expense,0
2017-10-23,2017,10,October,23,Monday,4,Saving Bank Account 1,Subscription,45,Tata Sky,Permanent Residence - Tata Play recharge,191.0,Expense,0
2017-06-11,2017,6,June,11,Sunday,2,Saving Bank Account 1,Beauty,2,grooming,hair cut,100.0,Expense,0
2017-07-28,2017,7,July,28,Friday,3,Credit Card,Health,23,Hospital,Hospital consultation,3050.0,Expense,0
2018-08-02,2018,8,August,2,Thursday,3,Cash,Food,18,flour mill,M D sure 4kg atta,216.0,Expense,0
2018-01-06,2018,1,January,6,Saturday,1,Cash,Household,24,Kirana,Idli pith 1kg,38.0,Expense,0
2017-06-04,2017,6,June,4,Sunday,2,Saving Bank Account 1,Food,18,vegetables,Pav kg Simla mirch 20 + Hari mirch 5,25.0,Expense,0
2015-03-15,2015,3,March,15,Sunday,1,Cash,Apparel,1,Clothing,altering,30.0,Expense,0
2018-01-11,2018,1,January,11,Thursday,1,Saving Bank Account 1,Food,18,Milk,1 lit,69.0,Expense,0
2018-04-13,2018,4,April,13,Friday,2,Saving Bank Account 1,Small Cap Fund 2,43,Unknown,Unknown,5000.0,Transfer-Out,2
2017-04-28,2017,4,April,28,Friday,2,Saving Bank Account 1,Food,18,Ice cream,Cup of butterscotch (20) + chocobar (10),30.0,Expense,0
2016-11-01,2016,11,November,1,Tuesday,4,Saving Bank Account 1,Money Transfer,30,Unknown,Unknown,10000.0,Expense,0
2017-08-22,2017,8,August,22,Tuesday,3,Saving Bank Account 1,Life Insurance,27,Unknown,Unknown,11043.0,Transfer-Out,2
