Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
14/08/2018 10:59:46,Saving Bank account 1,Dividend earned on Shares,,ITC Stocks,124,Income,INR
14/08/2018 10:04:52,Cash,Family,Pocket money,,30,Expense,INR
14/08/2018 09:51:30,Cash,Food,snacks,Dahi,32,Expense,INR
14/08/2018 09:50:12,Cash,Household,Kirana,Toothpaste Patanjali,160,Expense,INR
14/08/2018 09:48:42,Cash,Apparel,Laundry,8 clothes ironing,56,Expense,INR
14/08/2018 09:46:54,Cash,Food,Ice cream,Vanila family pack,115,Expense,INR
13/08/2018 18:37:27,Cash,Household,Appliances,5 litres can Distilled water,100,Expense,INR
13/08/2018 18:36:01,Cash,Household,home decor,Brass Puja plate and diva,220,Expense,INR
13/08/2018 18:35:18,Cash,Food,Grocery,Half kg Lahsoon,45,Expense,INR
13/08/2018 18:33:36,Cash,Household,Kirana,Supermart,594,Expense,INR
13/08/2018 10:04:36,Cash,Food,Ice cream,Vanila cup,10,Expense,INR
13/08/2018 10:04:23,Cash,Food,Ice cream,chocobar,20,Expense,INR
13/08/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Transfer-Out,INR
13/08/2018,Saving Bank account 1,Small cap fund 1,,,5000,Transfer-Out,INR
11/8/2018,Cash,Food,snacks,8 kachori,96,Expense,INR
10/8/2018,Cash,Family,Pocket money,,35,Expense,INR
7/8/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000,Transfer-Out,INR
6/8/2018,Cash,Beauty,grooming,hair cut,100,Expense,INR
5/8/2018,Cash,Family,Pocket money,,100,Expense,INR
5/8/2018,Cash,Food,Tea,cutting chai,10,Expense,INR
5/8/2018,Credit Card,Health,Health,eyewear Glasses payment remaining,4300,Expense,INR
5/8/2018,Credit Card,Apparel,Clothing,For Family,3410,Expense,INR
5/8/2018,Cash,Transportation,Train,Place 0 to Place 4 return,20,Expense,INR
5/8/2018,Cash,Transportation,auto,Current Residence to Place 0,15,Expense,INR
5/8/2018,Credit Card,Family,clothes,Bows,398,Expense,INR
3/8/2018,Saving Bank account 1,Other,,From Family,100,Income,INR
3/8/2018,Cash,Family,Pocket money,,2000,Expense,INR
3/8/2018,Saving Bank account 1,Dividend earned on Shares,,Redington Stocks,180,Income,INR
2/8/2018,Cash,Household,Kirana,Supermart,18,Expense,INR
2/8/2018,Cash,Food,flour mill,M D sure 4kg atta,216,Expense,INR
2/8/2018,Cash,Health,Health,eyewear Glasses advance,1000,Expense,INR
1/8/2018,Cash,Family,Pocket money,,40,Expense,INR
1/8/2018,Saving Bank account 1,Public Provident Fund,,,12500,Transfer-Out,INR
