Date,Year,Month,Month_Name,Day,Weekday,Quarter,Transaction Description,Category,Category_Code,Amount,Type,Is_Income
2023-09-12,2023,9,September,12,Tuesday,3,section agency lawyer sign them.,Utilities,9,1894.38,Expense,0
2020-05-05,2020,5,May,5,Tuesday,2,expert involve oil.,Health & Fitness,2,123.76,Expense,0
2024-08-27,2024,8,August,27,Tuesday,3,good spend still.,Salary,6,1542.23,Expense,0
2021-06-24,2021,6,June,24,Thursday,2,fact reason make office.,Entertainment,0,690.05,Expense,0
2024-06-21,2024,6,June,21,Friday,2,land day name small.,Food & Drink,1,1758.23,Expense,0
2022-12-12,2022,12,December,12,Monday,4,happen a point here control.,Rent,5,274.07,Expense,0
2023-08-10,2023,8,August,10,Thursday,3,mission include visit.,Investment,3,2313.0,Income,1
2021-03-19,2021,3,March,19,Friday,1,across nothing.,Food & Drink,1,1997.19,Expense,0
2021-03-27,2021,3,March,27,Saturday,1,lawyer writer health.,Health & Fitness,2,1907.65,Expense,0
2021-01-26,2021,1,January,26,Tuesday,1,by field move.,Food & Drink,1,624.78,Expense,0
2022-07-04,2022,7,July,4,Monday,3,maintain former campaign pretty beyond.,Food & Drink,1,204.39,Expense,0
2023-05-14,2023,5,May,14,Sunday,2,stage someone for power.,Utilities,9,762.98,Expense,0
2022-03-07,2022,3,March,7,Monday,1,after sister should across treatment.,Entertainment,0,359.23,Expense,0
2021-11-21,2021,11,November,21,Sunday,4,enter build citizen rather.,Investment,3,1794.0,Income,1
2023-10-27,2023,10,October,27,Friday,4,respond into history.,Utilities,9,418.93,Expense,0
2024-04-22,2024,4,April,22,Monday,2,space game truth special decision.,Travel,8,1681.82,Expense,0
2021-12-09,2021,12,December,9,Thursday,4,people early far include nearly.,Other,4,4585.0,Income,1
2022-05-07,2022,5,May,7,Saturday,2,include news a before.,Salary,6,1830.33,Expense,0
2020-03-15,2020,3,March,15,Sunday,1,available defense.,Entertainment,0,1428.77,Expense,0
2021-08-29,2021,8,August,29,Sunday,3,buy tax.,Food & Drink,1,1732.94,Expense,0
2021-02-05,2021,2,February,5,Friday,1,wish candidate have no.,Health & Fitness,2,1610.42,Expense,0
2023-01-26,2023,1,January,26,Thursday,1,add really born.,Other,4,1467.0,Income,1
2022-03-26,2022,3,March,26,Saturday,1,oil per line create build.,Entertainment,0,1526.1,Expense,0
2021-12-15,2021,12,December,15,Wednesday,4,yourself wind beyond prevent entire.,Other,4,3496.0,Income,1
2021-08-23,2021,8,August,23,Monday,3,play recently sure somebody.,Entertainment,0,1772.72,Expense,0
2020-04-26,2020,4,April,26,Sunday,2,go meeting quickly.,Investment,3,914.0,Income,1
2022-09-26,2022,9,September,26,Monday,3,evidence conference capital office.,Rent,5,374.26,Expense,0
2021-09-09,2021,9,September,9,Thursday,3,bar professor power.,Shopping,7,684.68,Expense,0
2021-01-27,2021,1,January,27,Wednesday,1,option oil commercial.,Health & Fitness,2,1467.4,Expense,0
2023-09-01,2023,9,September,1,Friday,3,detail far church some.,Shopping,7,1324.46,Expense,0
2024-02-23,2024,2,February,23,Friday,1,reach step son.,Utilities,9,837.7,Expense,0
2020-09-07,2020,9,September,7,Monday,3,hand so add mr lawyer.,Rent,5,1188.27,Expense,0
2021-01-19,2021,1,January,19,Tuesday,1,item treat area.,Travel,8,1553.72,Expense,0
2022-11-21,2022,11,November,21,Monday,4,program decade home which view.,Travel,8,682.13,Expense,0
2022-09-04,2022,9,September,4,Sunday,3,sort what.,Health & Fitness,2,143.68,Expense,0
2020-12-31,2020,12,December,31,Thursday,4,ready goal amount.,Rent,5,892.92,Expense,0
2022-06-01,2022,6,June,1,Wednesday,2,cultural right cover large work.,Rent,5,1890.92,Expense,0
2024-06-13,2024,6,June,13,Thursday,2,soon including important.,Health & Fitness,2,1443.31,Expense,0
2022-04-03,2022,4,April,3,Sunday,2,inside big minute.,Shopping,7,169.7,Expense,0
2021-10-22,2021,10,October,22,Friday,4,effort bill off.,Other,4,4328.0,Income,1
2021-07-14,2021,7,July,14,Wednesday,3,big the cost for leader.,Entertainment,0,778.47,Expense,0
2023-02-22,2023,2,February,22,Wednesday,1,allow share address.,Investment,3,3939.0,Income,1
2023-06-22,2023,6,June,22,Thursday,2,apply less.,Food & Drink,1,310.75,Expense,0
2020-02-16,2020,2,February,16,Sunday,1,method everything.,Shopping,7,730.37,Expense,0
2020-11-09,2020,11,November,9,Monday,4,follow wife firm key light.,Salary,6,881.14,Expense,0
2022-09-11,2022,9,September,11,Sunday,3,human see.,Utilities,9,380.91,Expense,0
2022-10-02,2022,10,October,2,Sunday,4,stuff benefit seat employee.,Salary,6,281.7,Expense,0
2020-04-23,2020,4,April,23,Thursday,2,develop staff least figure.,Utilities,9,849.54,Expense,0
2022-02-10,2022,2,February,10,Thursday,1,onto site both change note.,Utilities,9,227.36,Expense,0
2023-02-15,2023,2,February,15,Wednesday,1,she they.,Health & Fitness,2,1187.46,Expense,0
2022-07-28,2022,7,July,28,Thursday,3,might good test.,Other,4,1888.0,Income,1
2023-02-18,2023,2,February,18,Saturday,1,single blood continue.,Entertainment,0,309.63,Expense,0
2023-09-07,2023,9,September,7,Thursday,3,almost most look something.,Salary,6,1813.99,Expense,0
2020-11-14,2020,11,November,14,Saturday,4,yard model particular hair.,Salary,6,1938.42,Expense,0
2020-12-18,2020,12,December,18,Friday,4,name skill medical after them.,Utilities,9,995.7,Expense,0
2024-09-06,2024,9,September,6,Friday,3,guess service this different.,Entertainment,0,1003.01,Expense,0
2023-07-21,2023,7,July,21,Friday,3,brother southern project learn.,Shopping,7,1484.48,Expense,0
2021-08-15,2021,8,August,15,Sunday,3,go exactly much food region.,Food & Drink,1,720.62,Expense,0
2021-06-06,2021,6,June,6,Sunday,2,wait it quickly produce beat.,Salary,6,1982.06,Expense,0
2020-06-30,2020,6,June,30,Tuesday,2,call animal approach factor want.,Travel,8,98.33,Expense,0
2023-11-27,2023,11,November,27,Monday,4,candidate bad real.,Salary,6,370.71,Expense,0
2021-05-02,2021,5,May,2,Sunday,2,source onto provide.,Utilities,9,267.08,Expense,0
